state,national_contribution,state_target,state_achieved,state_percentage,
Andaman and Nicobar Islands,0,0,0,0,
Andhra Pradesh,13.64,8100,4090.45,13.64
Arunachal Pradesh,0,0,0,0,
Assam,0,0,0,0,
Bihar,0,0,0,0,
Chandigarh,0,0,0,0,
Chhattisgarh,0,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,
Daman and Diu,0,0,0,0,
Delhi,0,0,0,0,
Goa,0,0,0,0,
Gujarat,14.81,8800,6073.07,14.81,
Haryana,0,0,0,0,
Himachal Pradesh,0,0,0,0,
Jammu and Kashmir,0,0,0,0,
Jharkhand,0,0,0,0,
Karnataka,10.44,6200,4694.9,10.44,
Kerala,0,0,52.5,0,
Lakshwadeep,0,0,0,0,
Madhya Pradesh,10.44,6200,2519.89,10.44,
Maharashtra,12.79,7600,4794.13,12.79,
Manipur,0,0,0,0,
Meghalaya,0,0,0,0,
Mizoram,0,0,0,0,
Nagaland,0,0,0,0,
Odisha,0,0,0,0,
Puducherry,0,0,0,0,
Punjab,0,0,0,0,
Rajasthan,14.48,8600,4299.72,14.48,
Sikkim,0,0,0,0,
Tamil Nadu,20.03,11900,8968.91,20.03,
Telangana,3.37,2000,128.1,3.37,
Tripura,0,0,0,0,
Uttar Pradesh,0,0,0,0,
Uttarakhand,0,0,0,0,
West Bengal,0,0,0,0,
