state,national_contribution,state_target,state_achieved,state_percentage
Andaman and Nicobar Islands,0.0054252820,27,5.4,20.00
Andhra Pradesh,0.9842365420,9834,979.65,9.96
Arunchal Pradesh,0.0002712640,39,0.27,0.69
Assam,0.0112323430,663,11.18,1.69
Bihar,0.0963590330,2493,95.91,3.85
Chandigarh,0.0162758450,153,16.2,10.59
Chhattisgarh,0.1358229350,1783,135.19,7.58
Dad and Nagar Haveli,0.0006028090,449,0.6,0.13
Daman and Diu,0.0040187270,199,4,2.01
Delhi,0.0389615610,2762,38.78,1.40
Goa,0.0000502341,358,0.05,0.01
Gujarat,1.1651897840,8020,1159.76,14.46
Haryana,0.0736130370,4142,73.27,1.77
Himachal Pradesh,0.0003315450,776,0.33,0.04
Jammu and Kashmir,0.0010046820,1155,1,0.09
Jharkhand,0.0175919790,1995,17.51,0.88
Karnataka,0.3435308540,5697,341.93,6.00
Kerala,0.0159342540,1870,15.86,0.85
Lakshwadeep,0.0007535110,4,0.75,18.75
Madhya Pradesh,0.8543311830,5675,850.35,14.98
Maharashtra,0.4324753350,11926,430.46,3.61
Manipur,0.0000100468,105,0.01,0.01
Meghalaya,0.0000100468,161,0.01,0.01
Mizoram,0.0001004680,72,0.1,0.14
Nagaland,0.0005023410,61,0.5,0.82
Odisha,0.0780034960,2377,77.64,3.27
Puducherry,0.0000301405,246,0.03,0.01
Punjab,0.5951232740,4772,592.35,12.41
Rajasthan,1.3238089500,5762,1317.64,22.87
Sikkim,0.0000100468,36,0.01,0.03
Tamil Nadu,1.5984186310,8884,1590.97,17.91
Telangana,1.0784355090,0,0,0
Tripura,0.0050435030,105,5.02,4.78
Uttar Pradesh,0.2705206260,10697,269.26,2.52
Uttarakhand,0.0453111500,900,45.1,5.01
West Bengal,0.0231780100,5336,23.07,0.43
